Date,Winning Numbers,Jackpot Amount
31/01/2025,2 15 16 32 42 45,139780079500
31/01/2025,2 15 16 32 42 45,139780079500
26/01/2025,5 8 9 11 20 29,126005043500
26/01/2025,5 8 9 11 20 29,126005043500
24/01/2025,1 7 11 22 31 34,113638180500
24/01/2025,1 7 11 22 31 34,113638180500
22/01/2025,3 21 26 29 32 33,100732063000
22/01/2025,3 21 26 29 32 33,100732063000
19/01/2025,5 6 10 19 32 38,88694200500
19/01/2025,5 6 10 19 32 38,88694200500
17/01/2025,2 12 22 31 34 35,79711876500
17/01/2025,2 12 22 31 34 35,79711876500
15/01/2025,2 6 8 10 23 33,70643696000
15/01/2025,2 6 8 10 23 33,70643696000
12/01/2025,2 9 12 14 41 44,64648452500
12/01/2025,2 9 12 14 41 44,64648452500
10/01/2025,2 4 8 28 42 44,60864897000
10/01/2025,2 4 8 28 42 44,60864897000
08/01/2025,2 3 17 33 37 38,57135772500
08/01/2025,2 3 17 33 37 38,57135772500
05/01/2025,2 7 15 37 41 42,53382262500
05/01/2025,2 7 15 37 41 42,53382262500
03/01/2025,6 12 21 27 34 41,50082418000
03/01/2025,6 12 21 27 34 41,50082418000
01/01/2025,14 20 25 28 36 40,47338930500
01/01/2025,14 20 25 28 36 40,47338930500
29/12/2024,5 8 19 31 34 43,44067745500
29/12/2024,5 8 19 31 34 43,44067745500
27/12/2024,1 10 13 24 25 33,41293911500
27/12/2024,1 10 13 24 25 33,41293911500
25/12/2024,8 13 20 25 28 39,38615657500
25/12/2024,8 13 20 25 28 39,38615657500
22/12/2024,15 16 24 27 31 44,36004612500
22/12/2024,15 16 24 27 31 44,36004612500
20/12/2024,6 9 12 21 28 33,33371997000
20/12/2024,6 9 12 21 28 33,33371997000
18/12/2024,3 7 12 16 26 34,31310806000
18/12/2024,3 7 12 16 26 34,31310806000
15/12/2024,1 10 20 22 23 36,29082832000
15/12/2024,1 10 20 22 23 36,29082832000
13/12/2024,3 7 29 36 37 44,26867060000
13/12/2024,3 7 29 36 37 44,26867060000
11/12/2024,2 10 17 23 29 33,24777935000
11/12/2024,2 10 17 23 29 33,24777935000
08/12/2024,1 13 24 26 27 37,22725738500
08/12/2024,1 13 24 26 27 37,22725738500
06/12/2024,8 14 18 26 34 42,20515681000
06/12/2024,8 14 18 26 34 42,20515681000
04/12/2024,7 14 19 24 34 36,18798154500
04/12/2024,7 14 19 24 34 36,18798154500
01/12/2024,15 17 25 29 33 35,17057985500
01/12/2024,15 17 25 29 33 35,17057985500
29/11/2024,12 15 33 35 37 45,15190794500
29/11/2024,12 15 33 35 37 45,15190794500
27/11/2024,6 21 24 31 42 44,13588912500
27/11/2024,6 21 24 31 42 44,13588912500
24/11/2024,5 14 15 21 33 36,16930514500
24/11/2024,5 14 15 21 33 36,16930514500
22/11/2024,1 14 15 19 38 40,15156338000
22/11/2024,1 14 15 19 38 40,15156338000
20/11/2024,4 16 24 29 31 37,13418918000
20/11/2024,4 16 24 29 31 37,13418918000
17/11/2024,11 17 29 31 38 42,13537887500
17/11/2024,11 17 29 31 38 42,13537887500
15/11/2024,8 13 31 36 37 40,45581631000
15/11/2024,8 13 31 36 37 40,45581631000
13/11/2024,3 23 28 35 39 42,42456900000
13/11/2024,3 23 28 35 39 42,42456900000
10/11/2024,3 7 11 12 13 40,39606306500
10/11/2024,3 7 11 12 13 40,39606306500
08/11/2024,11 15 18 27 34 37,37004206500
08/11/2024,11 15 18 27 34 37,37004206500
06/11/2024,1 2 3 11 25 37,34366173000
06/11/2024,1 2 3 11 25 37,34366173000
03/11/2024,1 4 5 16 20 22,31646618500
03/11/2024,1 4 5 16 20 22,31646618500
01/11/2024,20 22 23 32 35 40,29358428000
01/11/2024,20 22 23 32 35 40,29358428000
30/10/2024,4 13 20 29 32 37,26810933500
30/10/2024,4 13 20 29 32 37,26810933500
27/10/2024,18 21 28 29 33 45,24626576000
27/10/2024,18 21 28 29 33 45,24626576000
25/10/2024,3 10 31 32 34 40,22669162000
25/10/2024,3 10 31 32 34 40,22669162000
23/10/2024,22 27 28 31 37 44,20513466500
23/10/2024,22 27 28 31 37 44,20513466500
20/10/2024,6 23 24 25 26 34,18553176000
20/10/2024,6 23 24 25 26 34,18553176000
